Starting residue: 0
k=1, n_k=0
k=2, n_k=0
k=3, n_k=0
k=4, n_k=0
k=5, n_k=0
k=6, n_k=0
k=7, n_k=0
k=8, n_k=0
k=9, n_k=0
k=10, n_k=0
k=11, n_k=0
k=12, n_k=0
k=13, n_k=0
k=14, n_k=0
k=15, n_k=0
k=16, n_k=0
k=17, n_k=0
k=18, n_k=0
k=19, n_k=0
k=20, n_k=0
k=21, n_k=0
k=22, n_k=0
k=23, n_k=0
k=24, n_k=0
k=25, n_k=0
k=26, n_k=0
k=27, n_k=0
k=28, n_k=0
k=29, n_k=0
k=30, n_k=0
k=31, n_k=0
k=32, n_k=0
k=33, n_k=0
k=34, n_k=0
k=35, n_k=0
k=36, n_k=0
k=37, n_k=0
k=38, n_k=0
k=39, n_k=0
k=40, n_k=0
k=41, n_k=0
k=42, n_k=0
k=43, n_k=0
k=44, n_k=0
k=45, n_k=0
k=46, n_k=0
k=47, n_k=0
k=48, n_k=0
k=49, n_k=0
k=50, n_k=0
k=51, n_k=0
k=52, n_k=0
k=53, n_k=0
k=54, n_k=0
k=55, n_k=0
k=56, n_k=0
k=57, n_k=0
k=58, n_k=0
k=59, n_k=0
k=60, n_k=0
k=61, n_k=0
k=62, n_k=0
k=63, n_k=0
k=64, n_k=0
k=65, n_k=0
k=66, n_k=0
k=67, n_k=0
k=68, n_k=0
k=69, n_k=0
k=70, n_k=0
k=71, n_k=0
k=72, n_k=0
k=73, n_k=0
k=74, n_k=0
k=75, n_k=0
k=76, n_k=0
k=77, n_k=0
k=78, n_k=0
k=79, n_k=0
k=80, n_k=0
k=81, n_k=0
k=82, n_k=0
k=83, n_k=0
k=84, n_k=0
k=85, n_k=0
k=86, n_k=0
k=87, n_k=0
k=88, n_k=0
k=89, n_k=0
k=90, n_k=0
k=91, n_k=0
k=92, n_k=0
k=93, n_k=0
k=94, n_k=0
k=95, n_k=0
k=96, n_k=0
k=97, n_k=0
k=98, n_k=0
k=99, n_k=0
k=100, n_k=0
k=101, n_k=0
k=102, n_k=0
k=103, n_k=0
k=104, n_k=0
k=105, n_k=0
k=106, n_k=0
k=107, n_k=0
k=108, n_k=0
k=109, n_k=0
k=110, n_k=0
k=111, n_k=0
k=112, n_k=0
k=113, n_k=0
k=114, n_k=0
k=115, n_k=0
k=116, n_k=0
k=117, n_k=0
k=118, n_k=0
k=119, n_k=0
k=120, n_k=0
k=121, n_k=0
k=122, n_k=0
k=123, n_k=0
k=124, n_k=0
k=125, n_k=0
k=126, n_k=0
k=127, n_k=0
k=128, n_k=0
k=129, n_k=0
k=130, n_k=0
k=131, n_k=0
k=132, n_k=0
k=133, n_k=0
k=134, n_k=0
k=135, n_k=0
k=136, n_k=0
k=137, n_k=0
k=138, n_k=0
k=139, n_k=0
k=140, n_k=0
k=141, n_k=0
k=142, n_k=0
k=143, n_k=0
k=144, n_k=0
k=145, n_k=0
k=146, n_k=0
k=147, n_k=0
k=148, n_k=0
k=149, n_k=0
k=150, n_k=0
k=151, n_k=0
k=152, n_k=0
k=153, n_k=0
k=154, n_k=0
k=155, n_k=0
k=156, n_k=0
k=157, n_k=0
k=158, n_k=0
k=159, n_k=0
k=160, n_k=0
k=161, n_k=0
k=162, n_k=0
k=163, n_k=0
k=164, n_k=0
k=165, n_k=0
k=166, n_k=0
k=167, n_k=0
k=168, n_k=0
k=169, n_k=0
k=170, n_k=0
k=171, n_k=0
k=172, n_k=0
k=173, n_k=0
k=174, n_k=0
k=175, n_k=0
k=176, n_k=0
k=177, n_k=0
k=178, n_k=0
k=179, n_k=0
k=180, n_k=0
k=181, n_k=0
k=182, n_k=0
k=183, n_k=0
k=184, n_k=0
k=185, n_k=0
k=186, n_k=0
k=187, n_k=0
k=188, n_k=0
k=189, n_k=0
k=190, n_k=0
k=191, n_k=0
k=192, n_k=0
k=193, n_k=0
k=194, n_k=0
k=195, n_k=0
k=196, n_k=0
k=197, n_k=0
k=198, n_k=0
k=199, n_k=0
k=200, n_k=0
k=201, n_k=0
k=202, n_k=0
k=203, n_k=0
k=204, n_k=0
k=205, n_k=0
k=206, n_k=0
k=207, n_k=0
k=208, n_k=0
k=209, n_k=0
k=210, n_k=0
k=211, n_k=0
k=212, n_k=0
k=213, n_k=0
k=214, n_k=0
k=215, n_k=0
k=216, n_k=0
k=217, n_k=0
k=218, n_k=0
k=219, n_k=0
k=220, n_k=0
k=221, n_k=0
k=222, n_k=0
k=223, n_k=0
k=224, n_k=0
k=225, n_k=0
k=226, n_k=0
k=227, n_k=0
k=228, n_k=0
k=229, n_k=0
k=230, n_k=0
k=231, n_k=0
k=232, n_k=0
k=233, n_k=0
k=234, n_k=0
k=235, n_k=0
k=236, n_k=0
k=237, n_k=0
